"배달 음식 관련 조사"

"","","","P1 B2","P1 B3","","","","","","","","","","","","P2 B2","P2 B3","P2 B4","P2 B5","P2 B6","P2 B7"
"응답자ID","시작일시","종료일시","성별은 무엇인가요?","배달 음식을 선호하는 순서대로 차례대로 선택해주세요.
(만약 잘못 선택한 경우 다시 항목을 선택하시면 선택 취소됩니다.)","","","","","","","","","","","","점심, 날씨 나쁠 때 먹고 싶은 음식","점심, 날씨 좋을 때 먹고 싶은 음식","저녁, 날씨 나쁠 때 먹고 싶은 음식","저녁, 날씨 좋을 때 먹고 싶은 음식","야식, 날씨 나쁠 때 먹고 싶은 음식","야식, 날씨 좋을 때 먹고 싶은 음식"
"","","","응답","한식","분식","카페/디저트","돈까스/회/일식","치킨","피자","아시안/양식","중식","족발/보쌈","찜/탕","도시락","패스트푸드","응답","응답","응답","응답","응답","응답"
"1","2021-05-19 00:07:16","2021-05-19 00:09:05","여성","7","5","6","2","3","8","1","9","11","12","10","4","찜/탕","돈까스/회/일식","패스트푸드","한식","치킨","치킨"
"2","2021-05-19 00:07:51","2021-05-19 00:09:11","남성","11","5","9","10","1","4","8","6","2","7","12","3","족발/보쌈","치킨","족발/보쌈","치킨","족발/보쌈","치킨"
"3","2021-05-19 00:07:34","2021-05-19 00:09:17","여성","6","1","3","5","2","8","7","9","4","11","12","10","한식","패스트푸드","분식","분식","치킨","치킨"
"4","2021-05-19 00:08:39","2021-05-19 00:10:23","남성","4","8","12","9","1","3","11","2","6","5","10","7","한식","한식","중식","치킨","치킨","치킨"
"5","2021-05-19 00:08:49","2021-05-19 00:10:43","여성","7","2","3","8","1","5","10","6","11","9","12","4","한식","분식","한식","치킨","치킨","패스트푸드"
"6","2021-05-19 00:09:24","2021-05-19 00:10:55","남성","2","4","11","5","7","1","10","6","8","9","12","3","피자","한식","피자","패스트푸드","치킨","분식"
"7","2021-05-19 00:09:45","2021-05-19 00:12:18","남성","8","3","10","4","6","5","7","1","11","12","2","9","분식","돈까스/회/일식","돈까스/회/일식","한식","분식","분식"
"8","2021-05-19 00:12:02","2021-05-19 00:13:38","남성","5","12","11","2","1","3","4","10","6","9","7","8","돈까스/회/일식","치킨","치킨","돈까스/회/일식","돈까스/회/일식","치킨"
"9","2021-05-19 00:10:55","2021-05-19 00:15:03","여성","5","2","12","9","3","1","11","10","7","4","8","6","피자","피자","피자","피자","피자","피자"
"10","2021-05-19 00:13:05","2021-05-19 00:15:04","여성","8","3","7","5","2","6","10","4","12","11","9","1","분식","패스트푸드","치킨","분식","분식","분식"
"11","2021-05-19 00:12:34","2021-05-19 00:15:44","남성","12","9","11","2","1","7","8","5","4","6","10","3","패스트푸드","돈까스/회/일식","카페/디저트","치킨","족발/보쌈","족발/보쌈"
"12","2021-05-19 00:12:33","2021-05-19 00:15:56","남성","12","4","10","8","3","6","11","5","2","9","7","1","도시락","도시락","도시락","도시락","치킨","치킨"
"13","2021-05-19 00:07:11","2021-05-19 00:16:18","여성","7","6","11","9","1","10","8","3","2","12","5","4","분식","도시락","치킨","치킨","치킨","족발/보쌈"
"14","2021-05-19 00:15:40","2021-05-19 00:17:30","남성","12","9","11","10","1","2","6","3","4","5","7","8","치킨","치킨","치킨","치킨","치킨","치킨"
"15","2021-05-19 00:15:48","2021-05-19 00:19:01","여성","10","3","1","2","6","5","9","11","7","12","8","4","카페/디저트","카페/디저트","분식","돈까스/회/일식","카페/디저트","카페/디저트"
"16","2021-05-19 00:18:07","2021-05-19 00:19:14","여성","5","6","2","7","3","4","10","9","8","11","12","1","분식","피자","찜/탕","돈까스/회/일식","돈까스/회/일식","카페/디저트"
"17","2021-05-19 00:19:21","2021-05-19 00:20:16","남성","12","6","9","5","2","1","8","4","10","7","11","3","피자","피자","피자","피자","피자","피자"
"18","2021-05-19 00:18:05","2021-05-19 00:20:27","남성","3","1","12","6","8","7","10","4","9","11","2","5","분식","한식","찜/탕","아시안/양식","족발/보쌈","치킨"
